Port,TCP,UDP,SCTP,DCCP,
1337,Unofficial,,,,
1337,Unofficial,,,,
1337,Unofficial,,,,
1341,Yes,Yes,,,
1344,Yes,Yes,,,
1352,Yes,Yes,,,
1360,Yes,Yes,,,
1414,Yes,Yes,,,
1417,Yes,Yes,,,
1418,Yes,Yes,,,
1419,Yes,Yes,,,
1420,Yes,Yes,,,
1431,Yes,,,,
1433,Yes,Yes,,,
1434,Yes,Yes,,,
1476,Yes,Yes,,,
1481,Yes,Yes,,,
1492,Unofficial,,,,
1494,Unofficial,Unofficial,,,
1500,Unofficial,,,,
1501,Unofficial,,,,
1503,Unofficial,Unofficial,,,
1512,Yes,Yes,,,
1513,Unofficial,Unofficial,,,
1521,Yes,Yes,,,
1521,Unofficial,,,,
1524,Yes,Yes,,,
1527,Yes,Yes,,,
1527,Unofficial,,,,
1533,Yes,Yes,,,
1534,No,Unofficial,,,
1540,Unofficial,Unofficial,,,
1541,Unofficial,Unofficial,,,
1542,Unofficial,Unofficial,,,
1545,Unofficial,Unofficial,,,
1547,Yes,Yes,,,
1550,Unofficial,Unofficial,,,
1550,Unofficial,,,,
1560-1590,Unofficial,Unofficial,,,
1581,Yes,Yes,,,
1581,Unofficial,,,,
1582-1583,Unofficial,,,,
1583,Unofficial,Unofficial,,,
1589,Yes,Yes,,,
1604,Unofficial,Unofficial,,,
1626,Unofficial,,,,
1627,Unofficial,,,,
1628,Yes,Yes,,,
1629,Yes,Yes,,,
1645,No,Unofficial,,,
1646,No,Unofficial,,,
1666,Unofficial,,,,
1677,Yes,Yes,,,
1688,Unofficial,,,,
1701,Yes,Yes,,,
1701,Assigned,Yes,,,
1707,Yes,Yes,,,
1707,,Unofficial,,,
1714-1764,Unofficial,Unofficial,,,
1716,,Unofficial,,,
1719,Yes,Yes,,,
1720,Yes,Yes,,,
1723,Yes,Assigned,,,
1755,Yes,Yes,,,
1761,Unofficial,Unofficial,,,
1776,Yes,Yes,,,
1783,Reserved,Reserved,Reserved,Reserved,
1801,Yes,Yes,,,
1812,Yes,Yes,,,
1813,Yes,Yes,,,
1863,Yes,Yes,,,
1880,Unofficial,Unofficial,,,
1883,Yes,Yes,,,
1900,Assigned,Yes,,,
1935,Yes,Yes,,,
1935,Unofficial,Unofficial,,,
1965,Unofficial,No,,,
1967,,Unofficial,,,
1972,Yes,Yes,,,
1984,Yes,Yes,,,
1984,Unofficial,,,,
1985,Assigned,Yes,,,
1998,Yes,Yes,,,
2000,Yes,Yes,,,
2010,Unofficial,Unofficial,,,
2033,Unofficial,Unofficial,,,
2049,Yes,Yes,Yes,,
2056,Unofficial,Unofficial,,,
2080,Yes,Yes,,,
2082,Unofficial,,,,
2083,Yes,Yes,,,
2083,Unofficial,,,,
2086,Yes,Yes,,,
2086,Unofficial,,,,
2087,Unofficial,,,,
2095,Yes,,,,
2096,Unofficial,,,,
2100,Unofficial,,,,
2101,Unofficial,,,,
2102,Yes,Yes,,,
2103,Yes,Yes,,,
2104,Yes,Yes,,,
2123,Yes,Yes,,,
2142,Yes,Yes,,,
2152,Yes,Yes,,,
2159,Yes,Yes,,,
2181,Yes,Yes,,,
2181,Unofficial,,,,
2195,Unofficial,,,,
2196,Unofficial,,,,
2197,Unofficial,,,,
2210,Yes,Yes,,,
2211,Yes,Yes,,,
2221,Unofficial,,,,
2222,Yes,Yes,,,
2222,Unofficial,Unofficial,,,
2222-2226,Yes,,,,
2240,Yes,Yes,,,
2261,Yes,Yes,,,
2262,Yes,Yes,,,
2302,,Unofficial,,,
2302,,Unofficial,,,
2303,,Unofficial,,,
2303,,Unofficial,,,
2305,,Unofficial,,,
2351,Unofficial,,,,
2368,Unofficial,,,,
2369,Unofficial,,,,
2370,Unofficial,,,,
2372,Unofficial,,,,
2375,Yes,Reserved,,,
2376,Yes,Reserved,,,
2377,Yes,Reserved,,,
2379,Yes,Reserved,,,
2379,Unofficial,,,,
2380,Yes,Reserved,,,
2389,Assigned,Assigned,,,
2399,Yes,Yes,,,
2401,Yes,Yes,,,
2404,Yes,Yes,,,
2424,Unofficial,,,,
2427,Yes,Yes,,,
2447,Yes,Yes,,,
2456,Unofficial,Unofficial,,,
2459,Yes,Yes,,,
2480,Unofficial,,,,
2483,Yes,Yes,,,
2484,Yes,Yes,,,
2500,Unofficial,Unofficial,,,
2501,,Unofficial,,,
2535,Yes,Yes,,,
2541,Yes,Yes,,,
2546-2548,Yes,Yes,,,
2593,Unofficial,Unofficial,,,
2598,Unofficial,,,,
2599,Unofficial,Unofficial,,,
2628,Yes,Yes,,,
2638,Yes,Yes,,,
2710,Unofficial,Unofficial,,,
2727,Yes,Yes,,,
2759,,Unofficial,,,
2775,Yes,Yes,,,
2809,Yes,Yes,,,
2811,Yes,Yes,,,
2827,Unofficial,,,,
2944,Yes,Yes,,,
2945,Yes,Yes,,,
2947,Yes,Yes,,,
2948-2949,Yes,Yes,,,
2967,Yes,Yes,,,
2989,Yes,Yes,,,
3000,Unofficial,,,,
3000,Unofficial,,,,
3000,Unofficial,Unofficial,,,
3000,Unofficial,,,,
3000,Unofficial,,,,
3000,Unofficial,,,,
3001,Yes,No,,,
3004,Unofficial,,,,
3010,Yes,Yes,,,
3020,Yes,Yes,,,
3050,Yes,Yes,,,
3052,Yes,Yes,,,
3074,Yes,Yes,,,
3101,Unofficial,,,,
3128,Unofficial,No,,,
3225,Yes,Yes,,,
3233,Yes,Yes,,,
3260,Yes,Yes,,,
3268,Yes,Yes,,,
3269,Yes,Yes,,,
3283,Yes,Yes,,,
3283,Unofficial,Unofficial,,,
3290,,Unofficial,,,
3305,Yes,Yes,,,
3306,Yes,Assigned,,,
3323,Unofficial,Unofficial,,,
3332,,Unofficial,,,
3333,Unofficial,,,,
3333,Unofficial,,,,
3333,Unofficial,,,,
3333,Unofficial,,,,
3344,Unofficial,Unofficial,,,
3351,Unofficial,Unofficial,,,
3386,Yes,Yes,,,
3389,Yes,Yes,,,
3396,Yes,Yes,,,
3412,Yes,Yes,,,
3423,Yes,,,,
3424,Yes,,,,
3435,Yes,Yes,,,
3455,Yes,Yes,,,
3478,Yes,Yes,,,
3478,Yes,Yes,,,
3478,Yes,Yes,,,
3478-3481,,Unofficial,,,
3479,Unofficial,Unofficial,,,
3480,Unofficial,Unofficial,,,
3483,,Yes,,,
3483,Yes,,,,
3493,Yes,Yes,,,
3503,Yes,Yes,,,
3516,Yes,Yes,,,
3527,,Yes,,,
3535,Unofficial,,,,
3544,,Yes,,,
3551,Yes,Yes,,,
3601,Yes,,,,
3632,Yes,Assigned,,,
3645,Yes,Yes,,,
3655,Yes,Yes,,,
3659,Yes,Yes,,,
3659,,Unofficial,,,
3667,Yes,Yes,,,
3671,Yes,Yes,,,
3689,Yes,Assigned,,,
3690,Yes,Yes,,,
3702,Yes,Yes,,,
3721,Unofficial,,,,
3724,Yes,Yes,,,
3724,Unofficial,,,,
3725,Yes,Yes,,,
3749,Yes,Yes,,,
3768,Yes,Yes,,,
3784,,Yes,,,
3785,,Unofficial,,,
3799,,Yes,,,
3804,Yes,Yes,,,
3825,Unofficial,,,,
3826,Yes,Yes,,,
3826,Unofficial,,,,
3835,Unofficial,,,,
3830,Yes,Yes,,,
3856,Unofficial,Unofficial,,,
3880,Yes,Yes,,,
3868,Yes,,Yes,,
3872,Yes,,,,
3900,Yes,,,,
3960,,Unofficial,,,
3962,,Unofficial,,,
3978,Unofficial,Unofficial,,,
3978,Unofficial,,,,
3979,Unofficial,Unofficial,,,
3999,Yes,Yes,,,
4000,Unofficial,Unofficial,,,
4001,Unofficial,,,,
4001,Unofficial,,,,
4018,Yes,Yes,,,
4035,Unofficial,,,,
4045,Unofficial,Unofficial,,,
4050,Unofficial,,,,
4069,,Yes,,,
4070,Unofficial,Unofficial,,,
4089,Yes,Yes,,,
4090,Yes,Yes,,,
4093,Yes,Yes,,,
4096,Yes,Yes,,,
4105,Yes,Yes,,,
4111,Yes,Assigned,,,
4116,Yes,Yes,,,
4123,Assigned,Yes,,,
4125,Unofficial,,,,
4172,Yes,Yes,,,
4190,Yes,,,,
4195,Yes,Yes,Yes,Yes,
4197,Yes,Yes,,,
4198,Unofficial,Unofficial,,,
4200,Unofficial,,,,
4201,Unofficial,,,,
4222,Unofficial,,,,
4226,Unofficial,Unofficial,,,
4242,Unofficial,,,,
4242,Unofficial,,,,
4243,Unofficial,,,,
4243,Unofficial,,,,
4244,Unofficial,Unofficial,,,
4303,Yes,Yes,,,
4307,Yes,,,,
4321,Yes,,,,
4433,,Unofficial,,,
4444,Unofficial,Unofficial,,,
4444,Unofficial,Unofficial,,,
4444,Unofficial,Unofficial,,,
4444,Unofficial,,,,
4444-4445,Unofficial,,,,
4486,Yes,Yes,,,
4488,Yes,Assigned,,,
4500,Assigned,Yes,,,
4502-4534,Yes,,,,
4505-4506,Unofficial,,,,
4534,,Unofficial,,,
4560,Unofficial,,,,
4567,Unofficial,,,,
4569,,Yes,,,
4604,Yes,,,,
4605,Yes,,,,
4610-4640,Unofficial,,,,
4662,Yes,Yes,,,
4662,Unofficial,,,,
4664,Unofficial,,,,
4672,,Unofficial,,,
4711,Unofficial,,,,
4713,Unofficial,,,,
4723,Unofficial,,,,
4724,Unofficial,,,,
4728,Yes,,,,
4730,Yes,Yes,,,
4739,Yes,Yes,,,
4747,Unofficial,,,,
4753,Yes,Yes,,,
4757,Unofficial,Unofficial,,,
4789,,Yes,,,
4791,,Yes,,,
4840,Yes,Yes,,,
4843,Yes,Yes,,,
4847,Yes,Yes,,,
4848,Unofficial,,,,
4894,Yes,Yes,,,
4944,No,Unofficial,,,
4949,Yes,,,,
4950,Yes,Yes,,,
5000,Unofficial,,,,
5000,Unofficial,Unofficial,,,
5000,Unofficial,,,,
5000,,Unofficial,,,
5000,Unofficial,,,,
5000,Unofficial,,,,
5000,Unofficial,,,,
5000,Unofficial,Unofficial,,,
5000,Unofficial,,,,
5000,Unofficial,Unofficial,,,
5000,Unofficial,,,,
5000,Unofficial,,,,
5000,Unofficial,,,,
5000,Unofficial,,,,
5000-5500,No,Unofficial,,,
5001,Unofficial,,,,
5001,Unofficial,Unofficial,,,
5001,Unofficial,,,,
5001,Unofficial,,,,
5002,Unofficial,,,,
5003,Yes,Assigned,,,
5004,Yes,Yes,,Yes,
5005,Yes,Yes,,Yes,
5007,Unofficial,,,,
5010,Yes,Yes,,,
5011,Yes,Yes,,,
